,id,start,end,length,quantity_limit,tonnage_limit,max_train_tonnage
0,0,54,22,27.335,52,277320,10666.153846153846
1,1,22,28,70.988,102,2387478,46813.294117647056
2,2,32,22,40.084,74,2343746,63344.48648648649
3,3,48,54,6.041,10,12057,2411.4
4,4,28,27,27.031,35,2527097,144405.54285714286
5,5,34,32,128.214,204,2344540,22985.686274509804
6,6,62,34,42.217,86,1319106,30676.883720930233
7,7,10,34,17.119,41,1888168,92105.75609756098
8,8,83,62,39.59,72,476521,13236.694444444445
9,9,2,10,29.522,66,143936,4361.69696969697
10,10,50,10,16.77,15,624441,83258.8
11,11,77,10,2.294,162,3221433,39770.77777777778
12,12,58,10,15.917,37,1115669,60306.43243243243
13,13,63,50,161.901,143,724091,10127.146853146853
14,14,73,83,93.838,186,709251,7626.354838709677
15,15,72,73,6.711,11,338902,61618.545454545456
16,16,46,72,4.604,25,350618,28049.44
17,17,46,73,6.332,16,317993,39749.125
18,18,77,71,175.908,141,3221433,45694.085106382976
19,19,82,46,126.75,123,116165,1888.861788617886
20,20,81,70,32.646,15,59388,7918.4
21,21,31,79,123.876,172,992595,11541.802325581395
22,22,79,40,196.477,220,2626158,23874.163636363635
23,23,63,0,289.269,222,3221433,29021.91891891892
24,24,56,31,60.18,157,2958721,37690.71337579618
25,25,31,75,25.333,30,420638,28042.533333333333
26,26,4,56,71.258,89,1296670,29138.65168539326
27,27,55,4,95.67,87,1263158,29038.114942528737
28,28,4,5,3.971,16,1034101,129262.625
29,29,53,55,65.608,79,1033133,26155.26582278481
30,30,5,44,40.194,73,2722824,74597.91780821918
31,31,57,75,113.133,116,483736,8340.275862068966
32,32,47,53,217.155,335,1469632,8773.922388059702
33,33,20,47,58.046,73,978132,26798.13698630137
34,34,35,47,128.648,137,309010,4511.094890510949
35,35,15,20,80.175,105,338804,6453.409523809524
36,36,59,20,136.282,117,875456,14965.059829059828
37,37,38,59,15.58,140,1520002,21714.314285714285
38,38,49,59,51.474,72,2811170,78088.05555555556
39,39,52,38,41.128,54,133875,4958.333333333333
40,40,13,38,67.957,78,308044,7898.5641025641025
41,41,29,49,82.509,21,644253,61357.42857142857
42,42,18,13,22.791,78,255865,6560.641025641025
43,43,65,13,49.971,51,34300,1345.0980392156862
44,44,85,29,132.182,120,1098271,18304.516666666666
45,45,85,16,72.788,88,656970,14931.136363636364
46,46,25,85,33.83,42,422255,20107.380952380954
47,47,21,25,50.006,40,337800,16890.0
48,48,78,40,114.682,123,1078233,17532.243902439026
49,49,6,78,81.413,54,32055,1187.2222222222222
50,50,78,60,212.383,186,3221433,34639.06451612903
51,51,71,78,206.05,144,3213148,44627.055555555555
52,52,40,88,23.006,182,3221433,35400.36263736264
53,53,31,40,138.758,185,2103370,22739.135135135137
54,54,70,26,65.666,80,448711,11217.775
55,55,70,71,2.34,17,142975,16820.58823529412
56,56,89,60,115.454,182,3221433,35400.36263736264
57,57,60,42,28.171,17,1050119,123543.41176470589
58,58,88,23,53.347,77,2569000,66727.27272727272
59,59,88,42,81.479,150,3221433,42952.44
60,60,89,3,28.355,30,650942,43396.13333333333
61,61,39,89,34.086,25,1026161,82092.88
62,62,39,76,15.103,27,365475,27072.222222222223
63,63,19,39,40.427,30,1029888,68659.2
64,64,42,24,22.197,61,2067298,67780.26229508196
65,65,23,41,62.0,96,2627554,54740.708333333336
66,66,12,41,98.223,193,2997427,31061.41968911917
67,67,41,80,40.778,62,1902368,61366.709677419356
68,68,43,63,177.696,111,3221433,58043.83783783784
69,69,84,43,83.447,126,1037028,16460.761904761905
70,70,37,43,210.112,118,3221433,54600.5593220339
71,71,51,84,90.084,137,1002682,14637.693430656935
72,72,44,12,74.066,104,2403070,46212.88461538462
73,73,44,86,87.485,44,124033,5637.863636363636
74,74,80,68,133.934,411,1293339,6293.620437956204
75,75,68,1,52.405,112,922879,16479.98214285714
76,76,61,1,63.565,36,140971,7831.722222222223
77,77,1,17,18.89,38,296017,15579.842105263158
78,78,69,57,15.366,54,144866,5365.407407407408
79,79,64,57,84.071,46,325778,14164.260869565218
80,80,87,64,184.476,40,51672,2583.6
81,81,14,64,67.847,40,191616,9580.8
82,82,15,14,17.285,36,613359,34075.5
83,83,14,15,4.857,23,2944133,256011.5652173913
84,84,27,45,29.063,52,2329681,89603.11538461539
85,85,11,45,96.13,139,1841753,26500.043165467625
86,86,51,11,204.14,247,1702500,13785.425101214574
87,87,74,19,69.135,29,338116,23318.344827586207
88,88,30,19,60.255,39,147210,7549.2307692307695
89,89,22,54,27.335,54,182762,6768.962962962963
90,90,28,22,70.988,115,3221433,56024.921739130434
91,91,22,32,40.084,83,3221433,77624.89156626505
92,92,54,48,6.041,15,41624,5549.866666666667
93,93,27,28,27.031,35,3221433,184081.88571428572
94,94,32,34,128.214,249,3221433,25874.963855421687
95,95,34,62,42.217,100,1593936,31878.72
96,96,34,10,17.119,47,3221433,137082.25531914894
97,97,62,83,39.59,77,864047,22442.77922077922
98,98,10,2,29.522,67,443088,13226.507462686568
99,99,10,50,16.77,18,214216,23801.777777777777
100,100,10,77,2.294,178,3221433,36195.87640449438
101,101,10,58,15.917,34,462578,27210.470588235294
102,102,50,63,161.901,170,232589,2736.3411764705884
103,103,83,73,93.838,176,956759,10872.261363636364
104,104,73,72,6.711,18,441683,49075.88888888889
105,105,72,46,4.604,23,231011,20087.91304347826
106,106,73,46,6.332,19,461249,48552.52631578947
107,107,71,77,175.908,143,1618137,22631.286713286714
108,108,46,82,126.75,133,161065,2422.03007518797
109,109,70,81,32.646,21,41064,3910.8571428571427
110,110,79,31,123.876,174,1895421,21786.44827586207
111,111,40,79,196.477,238,1108686,9316.689075630253
112,112,0,63,289.269,241,1323170,10980.663900414938
113,113,31,56,60.18,170,3221433,37899.211764705884
114,114,75,31,25.333,32,502702,31418.875
115,115,56,4,71.258,89,1759883,39547.93258426966
116,116,4,55,95.67,96,1017496,21197.833333333332
117,117,5,4,3.971,17,515368,60631.529411764706
118,118,55,53,65.608,80,994359,24858.975
119,119,44,5,40.194,74,1614414,43632.81081081081
120,120,75,57,113.133,121,354029,5851.719008264463
121,121,53,47,217.155,341,1268483,7439.782991202346
122,122,47,20,58.046,71,774021,21803.408450704224
123,123,47,35,128.648,145,316403,4364.179310344827
124,124,20,15,80.175,113,300385,5316.548672566371
125,125,20,59,136.282,96,624830,13017.291666666666
126,126,59,38,15.58,100,1620606,32412.12
127,127,59,49,51.474,81,1975181,48769.9012345679
128,128,38,52,41.128,58,128233,4421.827586206897
129,129,38,13,67.957,96,325117,6773.270833333333
130,130,49,29,82.509,29,439265,30294.137931034482
131,131,13,18,22.791,78,245986,6307.333333333333
132,132,13,65,49.971,54,63514,2352.3703703703704
133,133,29,85,132.182,114,687522,12061.78947368421
134,134,16,85,72.788,79,1379462,34923.08860759494
135,135,85,25,33.83,46,485268,21098.608695652172
136,136,25,21,50.006,44,357627,16255.772727272728
137,137,40,78,114.682,127,883705,13916.614173228347
138,138,78,6,81.413,67,26368,787.1044776119403
139,139,60,78,212.383,205,1578121,15396.30243902439
140,140,78,71,206.05,151,1608433,21303.748344370862
141,141,88,40,23.006,186,3221433,34639.06451612903
142,142,40,31,138.758,199,839657,8438.763819095477
143,143,26,70,65.666,78,146047,3744.7948717948716
144,144,71,70,2.34,13,408557,62854.92307692308
145,145,60,89,115.454,191,3221433,33732.28272251309
146,146,42,60,28.171,23,646706,56235.30434782609
147,147,23,88,53.347,77,1098523,28533.064935064936
148,148,42,88,81.479,151,1284829,17017.60264900662
149,149,3,89,28.355,28,652211,46586.5
150,150,89,39,34.086,25,3054836,244386.88
151,151,76,39,15.103,25,131964,10557.12
152,152,39,19,40.427,31,3092719,199530.25806451612
153,153,24,42,22.197,54,2452980,90851.11111111111
154,154,41,23,62.0,102,1105619,21678.803921568626
155,155,41,12,98.223,201,1102459,10969.74129353234
156,156,80,41,40.778,61,1031545,33821.147540983606
157,157,63,43,177.696,105,1360903,25921.961904761905
158,158,43,84,83.447,139,206453,2970.546762589928
159,159,43,37,210.112,135,1323993,19614.71111111111
160,160,84,51,90.084,152,163706,2154.0263157894738
161,161,12,44,74.066,109,1003261,18408.45871559633
162,162,86,44,87.485,72,383883,10663.416666666666
163,163,68,80,133.934,444,1013855,4566.914414414415
164,164,1,68,52.405,119,828386,13922.453781512606
165,165,1,61,63.565,47,149625,6367.021276595745
166,166,17,1,18.89,42,276277,13156.047619047618
167,167,57,69,15.366,55,168635,6132.181818181818
168,168,57,64,84.071,58,140627,4849.206896551724
169,169,64,87,184.476,44,30631,1392.3181818181818
170,170,64,14,67.847,38,157303,8279.105263157895
173,173,45,27,29.063,56,3221433,115051.17857142857
174,174,45,11,96.13,138,802432,11629.449275362318
175,175,11,51,204.14,262,796354,6079.038167938931
176,176,19,74,69.135,26,1122136,86318.15384615384
177,177,19,30,60.255,42,522670,24889.04761904762
